,venueID,venue_name,category_name,categoryID,address,postcode,latitude,longitude,price_tier
42,4c07d53c708c2d7f088eca63,Pho Mi Viet Hoa,Vietnamese Restaurant,4bf58dd8d48988d14a941735,2887 Jane StToronto ON M3N 2J5Canada,M3N 2J5,43.7519356619472,-79.51597892461835,2.0
43,4d1f71c3e56f6ea80b5c6d1d,Kiem Bo Restaurant,Asian Restaurant,4bf58dd8d48988d142941735,3685 Keeles Street (Suite #6)Toronto ON M3jCanada,M3j,43.75414316680229,-79.48796763223027,2.0
44,5d37a59b243af20008224ad3,Kin Sushi,Asian Restaurant,4bf58dd8d48988d142941735,Toronto ON M3K 2B5Canada,M3K 2B5,43.754088,-79.468586,2.0
45,4c9fd84e542b224b3f2701a0,Wakame Sushi,Sushi Restaurant,4bf58dd8d48988d1d2941735,638 Sheppard Ave WToronto ON M3H 2S1Canada,M3H 2S1,43.755382185036986,-79.44094461257187,2.0
46,55665a0b498ec5589987b1f7,Kinka Izakaya,Japanese Restaurant,4bf58dd8d48988d111941735,"4775 Yonge Street, Unit #114 (Sheppard Ave.)Toronto ON M2N 5M5Canada",M2N 5M5,43.76016102214242,-79.40982686116466,2.0
47,5a3b15a826659b10ec8139e3,Thai Express,Asian Restaurant,4bf58dd8d48988d142941735,"4841 Yonge St, Yonge Sheppard Centre (Sheppard Avenue East)North York ON M2N 5X2Canada",M2N 5X2,43.762396,-79.41022,2.0
48,4e8367a2f5b907135ece792f,Pearl,Chinese Restaurant,4bf58dd8d48988d145941735,2901 Bayview Ave (at Sheppard)Toronto ON M2K 1E6Canada,M2K 1E6,43.76840377388609,-79.38625631344964,1.0
49,4cdf086f41ed224b0bd9dc3c,Bow Thai,Thai Restaurant,4bf58dd8d48988d149941735,4777 Leslie St. (at Nymark Ave.)North York ONCanada,,43.77872882612348,-79.36406502703808,2.0
50,4ae1aee0f964a520be8621e3,Spring Rolls,Asian Restaurant,4bf58dd8d48988d142941735,1800 Sheppard Ave. E (at Fairview Mall)Toronto ON M2J 5A7Canada,M2J 5A7,43.777350695180374,-79.34397727347279,2.0
51,4b75f4c7f964a520f0312ee3,Aoyama & Sushi Restaurant,Japanese Restaurant,4bf58dd8d48988d111941735,2766 Victoria Park Ave. (at Van Horne Ave.)Toronto ON M2J 4A8Canada,M2J 4A8,43.78714462602838,-79.32894027060964,2.0
52,4b6e2799f964a52052ae2ce3,Happy Lamb Hot Pot,Hotpot Restaurant,52af0bd33cf9994f4e043bdd,2543 Warden Ave. (at Huntingwood Dr.)Scarborough ON M1W 2H5Canada,M1W 2H5,43.79161068939604,-79.31326863757754,
53,58388814809a776da0e00646,Grandeur Palace 華丽宮 (Grandeur Palace 華麗宮),Chinese Restaurant,4bf58dd8d48988d145941735,"2301 Brimley Rd, Unit 128 (at Huntingwood Dr)Scarborough ON M1S 5B8Canada",M1S 5B8,43.79788486462263,-79.27058461606062,1.0
54,52c46724498ed32ba537dbcd,Lac Vien Vietnamese Restaurant- Scarborough,Vietnamese Restaurant,4bf58dd8d48988d14a941735,2270 Markham Road (at Finch Ave. E)Scarborough ON M1B 2W4Canada,M1B 2W4,43.81141550537656,-79.24320596883133,2.0
55,4c681572f7a80f47672fa27a,Hong Food,Chinese Restaurant,4bf58dd8d48988d145941735,31 Tapscott Rd (Neilson Rd)Toronto ONCanada,,43.80657502776566,-79.22264849544543,1.0
56,4bbb6741cf2fc9b6be8aa202,China Palace,Chinese Restaurant,4bf58dd8d48988d145941735,3530 Derry Rd. EMississauga ONCanada,,43.71447007352449,-79.62975237074362,1.0
57,4d88ddb47d4c548168444871,ManchuWok,Asian Restaurant,4bf58dd8d48988d142941735,WoodbineToronto ONCanada,,43.720209,-79.600678,2.0
58,4b5f8a3df964a52062c029e3,Mandarin Buffet,Chinese Restaurant,4bf58dd8d48988d145941735,200 Queens Plate Dr (at Hwy 27)Rexdale ON M9W 6Y9Canada,M9W 6Y9,43.7203596,-79.5943875,1.0
59,4b9924aaf964a5205e6435e3,Golden Asian,Asian Restaurant,4bf58dd8d48988d142941735,123 - #7 Rexdale Blvd.Toronto ONCanada,,43.71124779631982,-79.56596849779808,2.0
60,4b5dd901f964a520736f29e3,Faley Restaurant,Asian Restaurant,4bf58dd8d48988d142941735,42 Rexdale BoulevardToronto ON M9W 5Z3Canada,M9W 5Z3,43.713816758640164,-79.55867566515604,2.0
61,5c2a768b4f0e58003945cf07,Umami,Hakka Restaurant,52af3ac83cf9994f4e043bf3,Toronto ON M9W 3P3Canada,M9W 3P3,43.724873,-79.55095,
