,Unnamed: 0,id,name,location,categories,referralId,hasPerk,venuePage
20,28,5d5c8a7592a9100008f6d945,Asian Fusion Resturant,"{'crossStreet': 'Yonge', 'lat': 43.797966, 'lng': -79.425571, 'labeledLatLngs': [{'label': 'display', 'lat': 43.797966, 'lng': -79.425571}], 'postalCode': 'L4J 7Y1', 'cc': 'CA', 'city': 'Vaughan', 'state': 'ON', 'country': 'Canada', 'formattedAddress': ['Yonge', 'Vaughan ON L4J 7Y1', 'Canada']}","[{'id': '4bf58dd8d48988d113941735', 'name': 'Korean Restaurant', 'pluralName': 'Korean Restaurants', 'shortName': 'Korean', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/korean_', 'suffix': '.png'}, 'primary': True}]",v-1603875900,False,
21,30,4aea2b14f964a520ebb921e3,Fine Asian Bowl,"{'address': '271 Yonge St.', 'crossStreet': 'btwn Dundas St. E & Shuter St.', 'lat': 43.6553866, 'lng': -79.3803264, 'labeledLatLngs': [{'label': 'display', 'lat': 43.6553866, 'lng': -79.3803264}], 'postalCode': 'M5B 1N8', 'cc': 'CA', 'city': 'Toronto', 'state': 'ON', 'country': 'Canada', 'formattedAddress': ['271 Yonge St. (btwn Dundas St. E & Shuter St.)', 'Toronto ON M5B 1N8', 'Canada']}","[{'id': '4bf58dd8d48988d14a941735', 'name': 'Vietnamese Restaurant', 'pluralName': 'Vietnamese Restaurants', 'shortName': 'Vietnamese', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/vietnamese_', 'suffix': '.png'}, 'primary': True}]",v-1603875900,False,
22,31,5bd9ebd68ad62e002c189ed7,Chi Asian Tapas,"{'lat': 43.710688, 'lng': -79.399181, 'labeledLatLngs': [{'label': 'display', 'lat': 43.710688, 'lng': -79.399181}], 'postalCode': 'M4P 2E7', 'cc': 'CA', 'city': 'Toronto', 'state': 'ON', 'country': 'Canada', 'formattedAddress': ['Toronto ON M4P 2E7', 'Canada']}","[{'id': '4bf58dd8d48988d142941735', 'name': 'Asian Restaurant', 'pluralName': 'Asian Restaurants', 'shortName': 'Asian', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/asian_', 'suffix': '.png'}, 'primary': True}]",v-1603875900,False,
23,33,54a51b0b498ea176a1a6ef78,Asian Television Network ATN,"{'address': '330 Cochrane Drive', 'lat': 43.84372794693924, 'lng': -79.35723066329955, 'labeledLatLngs': [{'label': 'display', 'lat': 43.84372794693924, 'lng': -79.35723066329955}], 'postalCode': 'L3R 8E4', 'cc': 'CA', 'city': 'Markham', 'state': 'ON', 'country': 'Canada', 'formattedAddress': ['330 Cochrane Drive', 'Markham ON L3R 8E4', 'Canada']}","[{'id': '4bf58dd8d48988d1ff941735', 'name': 'Miscellaneous Shop', 'pluralName': 'Miscellaneous Shops', 'shortName': 'Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/default_', 'suffix': '.png'}, 'primary': True}]",v-1603875900,False,
24,35,5161cbdfe4b08ccc02faccd9,Asian Television Network,"{'lat': 43.844998118282916, 'lng': -79.36039120648294, 'labeledLatLngs': [{'label': 'display', 'lat': 43.844998118282916, 'lng': -79.36039120648294}], 'cc': 'CA', 'country': 'Canada', 'formattedAddress': ['Canada']}","[{'id': '4bf58dd8d48988d124941735', 'name': 'Office', 'pluralName': 'Offices', 'shortName': 'Office', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/default_', 'suffix': '.png'}, 'primary': True}]",v-1603875900,False,
25,36,51ce546a498e9bff944d131a,M2M Asian Grocery,"{'address': '4885 Yonge St.', 'crossStreet': 'at Greenfield Ave.', 'lat': 43.76350878804898, 'lng': -79.41127835858578, 'labeledLatLngs': [{'label': 'display', 'lat': 43.76350878804898, 'lng': -79.41127835858578}], 'postalCode': 'M2N 5Y3', 'cc': 'CA', 'city': 'Toronto', 'state': 'ON', 'country': 'Canada', 'formattedAddress': ['4885 Yonge St. (at Greenfield Ave.)', 'Toronto ON M2N 5Y3', 'Canada']}","[{'id': '4bf58dd8d48988d118951735', 'name': 'Grocery Store', 'pluralName': 'Grocery Stores', 'shortName': 'Grocery Store', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/food_grocery_', 'suffix': '.png'}, 'primary': True}]",v-1603875900,False,
26,38,522deb21abdf65cfbab6fd85,Asian 1,"{'address': '880 Wilson', 'lat': 43.73033519778679, 'lng': -79.46809507960589, 'labeledLatLngs': [{'label': 'display', 'lat': 43.73033519778679, 'lng': -79.46809507960589}], 'postalCode': 'M3K 1E7', 'cc': 'CA', 'city': 'North York', 'state': 'ON', 'country': 'Canada', 'formattedAddress': ['880 Wilson', 'North York ON M3K 1E7', 'Canada']}","[{'id': '4bf58dd8d48988d1ed941735', 'name': 'Spa', 'pluralName': 'Spas', 'shortName': 'Spa', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/spa_', 'suffix': '.png'}, 'primary': True}]",v-1603875900,False,
27,39,4f021289a69d45461fab5ea7,Jocelyn's Asian Cuisine,"{'lat': 43.785086, 'lng': -79.260463, 'labeledLatLngs': [{'label': 'display', 'lat': 43.785086, 'lng': -79.260463}], 'cc': 'CA', 'country': 'Canada', 'formattedAddress': ['Canada']}",[],v-1603875900,False,
28,40,592dfe72e07550199b783b4e,Lime Asian Kitchen,"{'address': '3243 Yonge Street', 'lat': 43.728995, 'lng': -79.403047, 'labeledLatLngs': [{'label': 'display', 'lat': 43.728995, 'lng': -79.403047}], 'postalCode': 'M4N 2L5', 'cc': 'CA', 'city': 'Toronto', 'state': 'ON', 'country': 'Canada', 'formattedAddress': ['3243 Yonge Street', 'Toronto ON M4N 2L5', 'Canada']}","[{'id': '4bf58dd8d48988d142941735', 'name': 'Asian Restaurant', 'pluralName': 'Asian Restaurants', 'shortName': 'Asian', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/asian_', 'suffix': '.png'}, 'primary': True}]",v-1603875900,False,
29,41,522deb21abdf65cfbab6fd9b,Asian Health and Beauty,"{'address': '1942 Eglinton W', 'lat': 43.695164, 'lng': -79.45329, 'labeledLatLngs': [{'label': 'display', 'lat': 43.695164, 'lng': -79.45329}], 'postalCode': 'M6E 2J7', 'cc': 'CA', 'city': 'Toronto', 'state': 'ON', 'country': 'Canada', 'formattedAddress': ['1942 Eglinton W', 'Toronto ON M6E 2J7', 'Canada']}","[{'id': '4bf58dd8d48988d1ed941735', 'name': 'Spa', 'pluralName': 'Spas', 'shortName': 'Spa', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/spa_', 'suffix': '.png'}, 'primary': True}]",v-1603875900,False,
