,id,name,location,categories,referralId,hasPerk,venuePage
30,4e48095d45dd2955e5acea65,Viet Delicious Delicacy,"{'address': '4300 Steeles Ave. E', 'crossStreet': 'at Pacific Mall', 'lat': 43.82671773175803, 'lng': -79.30619786111224, 'labeledLatLngs': [{'label': 'display', 'lat': 43.82671773175803, 'lng': -79.30619786111224}], 'cc': 'CA', 'city': 'Markham', 'state': 'ON', 'country': 'Canada', 'formattedAddress': ['4300 Steeles Ave. E (at Pacific Mall)', 'Markham ON', 'Canada']}","[{'id': '4bf58dd8d48988d142941735', 'name': 'Asian Restaurant', 'pluralName': 'Asian Restaurants', 'shortName': 'Asian', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/asian_', 'suffix': '.png'}, 'primary': True}]",v-1603876373,False,
31,4bca4619cc8cd13a0f68bdcf,Simply House Vietnamese Restuarant,"{'lat': 43.857863, 'lng': -79.359118, 'labeledLatLngs': [{'label': 'display', 'lat': 43.857863, 'lng': -79.359118}], 'cc': 'CA', 'country': 'Canada', 'formattedAddress': ['Canada']}",[],v-1603876373,False,
32,4d3783b47ebf721e5fc967fb,Noodle King Vietnamese Cuisine,"{'crossStreet': 'Dufferin and Orfus', 'lat': 43.719893, 'lng': -79.45750751332284, 'labeledLatLngs': [{'label': 'display', 'lat': 43.719893, 'lng': -79.45750751332284}], 'cc': 'CA', 'city': 'Toronto', 'state': 'ON', 'country': 'Canada', 'formattedAddress': ['Dufferin and Orfus', 'Toronto ON', 'Canada']}","[{'id': '4bf58dd8d48988d14a941735', 'name': 'Vietnamese Restaurant', 'pluralName': 'Vietnamese Restaurants', 'shortName': 'Vietnamese', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/vietnamese_', 'suffix': '.png'}, 'primary': True}]",v-1603876373,False,
33,51f17199498e81d9b9206293,Forget Me Not Cafe Vietnamese Resto-Bar,"{'address': '883 Wilson Ave', 'lat': 43.730491854293696, 'lng': -79.46652955512842, 'labeledLatLngs': [{'label': 'display', 'lat': 43.730491854293696, 'lng': -79.46652955512842}], 'postalCode': 'M3K 1E6', 'cc': 'CA', 'city': 'North York', 'state': 'ON', 'country': 'Canada', 'formattedAddress': ['883 Wilson Ave', 'North York ON M3K 1E6', 'Canada']}","[{'id': '4bf58dd8d48988d14a941735', 'name': 'Vietnamese Restaurant', 'pluralName': 'Vietnamese Restaurants', 'shortName': 'Vietnamese', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/vietnamese_', 'suffix': '.png'}, 'primary': True}]",v-1603876373,False,
34,59eccc99dff8150ccdd70355,Kim Vietnamese Restaurant,"{'address': '546 Dundas St W', 'lat': 43.652748, 'lng': -79.399377, 'labeledLatLngs': [{'label': 'display', 'lat': 43.652748, 'lng': -79.399377}], 'postalCode': 'M5T 1H3', 'cc': 'CA', 'city': 'Toronto', 'state': 'ON', 'country': 'Canada', 'formattedAddress': ['546 Dundas St W', 'Toronto ON M5T 1H3', 'Canada']}","[{'id': '4bf58dd8d48988d14a941735', 'name': 'Vietnamese Restaurant', 'pluralName': 'Vietnamese Restaurants', 'shortName': 'Vietnamese', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/vietnamese_', 'suffix': '.png'}, 'primary': True}]",v-1603876373,False,
35,566e005c498e58ba3b08ad27,Danang Vietnamese Restaurant,"{'address': '1750 Saint Clair. Ave. W.', 'lat': 43.674256, 'lng': -79.460389, 'labeledLatLngs': [{'label': 'display', 'lat': 43.674256, 'lng': -79.460389}], 'cc': 'CA', 'city': 'Toronto', 'state': 'ON', 'country': 'Canada', 'formattedAddress': ['1750 Saint Clair. Ave. W.', 'Toronto ON', 'Canada']}","[{'id': '4bf58dd8d48988d14a941735', 'name': 'Vietnamese Restaurant', 'pluralName': 'Vietnamese Restaurants', 'shortName': 'Vietnamese', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/vietnamese_', 'suffix': '.png'}, 'primary': True}]",v-1603876373,False,
36,57754807498e252642f9161d,Nam Vietnamese Restaurant,"{'address': '9206 Leslie St', 'crossStreet': 'at 16th Ave', 'lat': 43.86146348442221, 'lng': -79.38737625570045, 'labeledLatLngs': [{'label': 'display', 'lat': 43.86146348442221, 'lng': -79.38737625570045}], 'postalCode': 'L4B 2N8', 'cc': 'CA', 'city': 'Richmond Hill', 'state': 'ON', 'country': 'Canada', 'formattedAddress': ['9206 Leslie St (at 16th Ave)', 'Richmond Hill ON L4B 2N8', 'Canada']}","[{'id': '4bf58dd8d48988d14a941735', 'name': 'Vietnamese Restaurant', 'pluralName': 'Vietnamese Restaurants', 'shortName': 'Vietnamese', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/vietnamese_', 'suffix': '.png'}, 'primary': True}]",v-1603876373,False,
37,4e94dd020aaf90b10582e0ac,Mien Tai Vietnamese Restaurant,"{'address': '1750 St. Claire Ave West', 'lat': 43.67350006667627, 'lng': -79.46745785630338, 'labeledLatLngs': [{'label': 'display', 'lat': 43.67350006667627, 'lng': -79.46745785630338}], 'cc': 'CA', 'city': 'Toronto', 'state': 'ON', 'country': 'Canada', 'formattedAddress': ['1750 St. Claire Ave West', 'Toronto ON', 'Canada']}","[{'id': '4bf58dd8d48988d14a941735', 'name': 'Vietnamese Restaurant', 'pluralName': 'Vietnamese Restaurants', 'shortName': 'Vietnamese', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/vietnamese_', 'suffix': '.png'}, 'primary': True}]",v-1603876373,False,
38,4e5d1badd164ced553f3a8da,Bong Lua,"{'address': '2572 Birchmount Rd.', 'crossStreet': 'at Huntingwood Dr', 'lat': 43.789954654498054, 'lng': -79.30242105594982, 'labeledLatLngs': [{'label': 'display', 'lat': 43.789954654498054, 'lng': -79.30242105594982}], 'cc': 'CA', 'neighborhood': ""Tam O'Shanter - Sullivan"", 'city': 'Scarborough', 'state': 'ON', 'country': 'Canada', 'formattedAddress': ['2572 Birchmount Rd. (at Huntingwood Dr)', 'Scarborough ON', 'Canada']}","[{'id': '4bf58dd8d48988d14a941735', 'name': 'Vietnamese Restaurant', 'pluralName': 'Vietnamese Restaurants', 'shortName': 'Vietnamese', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/vietnamese_', 'suffix': '.png'}, 'primary': True}]",v-1603876373,False,
39,4b4779f0f964a520543326e3,Pho 88 Vietnamese Cuisine,"{'address': '5197 Yonge St', 'crossStreet': 'at Empress Walk', 'lat': 43.77045596393368, 'lng': -79.41306424537943, 'labeledLatLngs': [{'label': 'display', 'lat': 43.77045596393368, 'lng': -79.41306424537943}], 'cc': 'CA', 'city': 'Toronto', 'state': 'ON', 'country': 'Canada', 'formattedAddress': ['5197 Yonge St (at Empress Walk)', 'Toronto ON', 'Canada']}","[{'id': '4bf58dd8d48988d14a941735', 'name': 'Vietnamese Restaurant', 'pluralName': 'Vietnamese Restaurants', 'shortName': 'Vietnamese', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/vietnamese_', 'suffix': '.png'}, 'primary': True}]",v-1603876373,False,
